rank,lemma,pos,freq,ipm,ARF,total_freq,source_tags,rows
463,poczucie,noun,13331.0,163.24,6511.59,13331.0,subst,1
464,scena,noun,15453.0,189.22,6504.89,15453.0,subst,1
465,minister,noun,19707.0,241.32,6484.61,19707.0,subst,1
466,opinia,noun,13521.0,165.57,6471.86,13521.0,subst,1
467,sukces,noun,13292.0,162.76,6460.53,13292.0,subst,1
468,numer,noun,13944.0,170.75,6455.12,13944.0,subst,1
469,porządek,noun,12635.0,154.72,6444.44,12635.0,subst,1
470,powietrze,noun,13767.0,168.58,6436.72,13767.0,subst,1
471,podstawowy,adjective,13350.0,163.47,6410.12,13350.0,adj,1
472,ruszyć,verb,13787.0,168.82,6401.28,13787.0,fin;imps;impt;inf;praet,5
473,ofiara,noun,14878.0,182.18,6400.09,14878.0,subst,1
474,korzystać,verb,11690.0,143.16,6394.9,11690.0,fin;imps;impt;inf;pcon;praet,6
475,duch,noun,14406.0,176.4,6383.03,14406.0,subst,1
476,stół,noun,15224.0,186.42,6378.37,15224.0,subst,1
477,pomagać,verb,11823.0,144.79,6337.96,11823.0,fin;imps;impt;inf;pcon;praet,6
478,gazeta,noun,13878.0,169.94,6335.99,13878.0,subst,1
479,skutek,noun,12186.0,149.22,6326.26,12186.0,subst,1
480,właściciel,noun,14345.0,175.66,6322.29,14345.0,subst,1
481,linia,noun,15119.0,185.13,6318.76,15119.0,subst,1
482,prezes,noun,18463.0,226.08,6318.33,18463.0,subst,1
483,uczyć,verb,12269.0,150.24,6314.47,12269.0,fin;imps;impt;inf;pcon;praet,6
484,wspominać,verb,13479.0,165.05,6303.63,13479.0,fin;imps;impt;inf;pcon;praet,6
485,medium,noun,15194.0,186.05,6296.29,15194.0,subst,1
486,choroba,noun,16113.0,197.31,6284.22,16113.0,subst,1
487,były,adjective,14080.0,172.41,6266.52,14080.0,adj,1
488,niewielki,adjective,11618.0,142.26,6265.29,11618.0,adj,1
489,Paweł,noun,18780.0,229.96,6259.98,18780.0,subst,1
490,szeroki,adjective,11420.0,139.84,6256.54,11420.0,adj,1
491,partia,noun,19206.0,235.18,6252.92,19206.0,subst,1
492,racja,noun,11532.0,141.21,6161.71,11532.0,subst,1
493,pole,noun,12635.0,154.72,6151.67,12635.0,subst,1
494,list,noun,16548.0,202.63,6142.82,16548.0,subst,1
495,amerykański,adjective,15504.0,189.86,6097.45,15504.0,adj;adja;adjp,3
496,klasa,noun,15560.0,190.53,6091.66,15560.0,subst,1
497,umowa,noun,19619.0,240.24,6084.33,19619.0,subst,1
498,mama,noun,21559.0,263.99,6079.39,21559.0,subst,1
499,przepis,noun,17361.0,212.59,6070.72,17361.0,subst,1
500,społeczeństwo,noun,15697.0,192.21,6066.23,15697.0,subst,1
